command_id	command_category	command_note	command_description	latin keyboard layout	cyrillic keyboard layout
tag_map_close	specific_html_tag	</map>	Types the end of 'map' tag	+{COMMA}{SLASH}map+{PERIOD}	%{SHIFT}+{COMMA}{SLASH}map+{PERIOD}%{SHIFT}
tag_mark_begin	specific_html_tag	<mark	Types the beginning of 'mark' tag	+{COMMA}mark	%{SHIFT}+{COMMA}mark%{SHIFT}
tag_mark_start	specific_html_tag	<mark>	Types the start of 'mark' tag	+{COMMA}mark+{PERIOD}	%{SHIFT}+{COMMA}mark+{PERIOD}%{SHIFT}
tag_mark_close	specific_html_tag	</mark>	Types the end of 'mark' tag	+{COMMA}{SLASH}mark+{PERIOD}	%{SHIFT}+{COMMA}{SLASH}mark+{PERIOD}%{SHIFT}
tag_menu_begin	specific_html_tag	<menu	Types the beginning of 'menu' tag	+{COMMA}menu	%{SHIFT}+{COMMA}menu%{SHIFT}
tag_menu_start	specific_html_tag	<menu>	Types the start of 'menu' tag	+{COMMA}menu+{PERIOD}	%{SHIFT}+{COMMA}menu+{PERIOD}%{SHIFT}
tag_menu_close	specific_html_tag	</menu>	Types the end of 'menu' tag	+{COMMA}{SLASH}menu+{PERIOD}	%{SHIFT}+{COMMA}{SLASH}menu+{PERIOD}%{SHIFT}
tag_menuitem_begin	specific_html_tag	<menuitem	Types the beginning of 'menuitem' tag	+{COMMA}menuitem	%{SHIFT}+{COMMA}menuitem%{SHIFT}
tag_menuitem_start	specific_html_tag	<menuitem>	Types the start of 'menuitem' tag	+{COMMA}menuitem+{PERIOD}	%{SHIFT}+{COMMA}menuitem+{PERIOD}%{SHIFT}
tag_menuitem_close	specific_html_tag	</menuitem>	Types the end of 'menuitem' tag	+{COMMA}{SLASH}menuitem+{PERIOD}	%{SHIFT}+{COMMA}{SLASH}menuitem+{PERIOD}%{SHIFT}
voidTag_meta_begin	specific_html_tag	<meta	Types the beginning of 'meta' tag	+{COMMA}meta	%{SHIFT}+{COMMA}meta%{SHIFT}
voidTag_meta_def	specific_html_tag	<meta/>	Types the whole 'meta' tag	+{COMMA}meta{SLASH}+{PERIOD}	%{SHIFT}+{COMMA}meta{SLASH}+{PERIOD}%{SHIFT}
tag_meter_begin	specific_html_tag	<meter	Types the beginning of 'meter' tag	+{COMMA}meter	%{SHIFT}+{COMMA}meter%{SHIFT}
tag_meter_start	specific_html_tag	<meter>	Types the start of 'meter' tag	+{COMMA}meter+{PERIOD}	%{SHIFT}+{COMMA}meter+{PERIOD}%{SHIFT}
tag_meter_close	specific_html_tag	</meter>	Types the end of 'meter' tag	+{COMMA}{SLASH}meter+{PERIOD}	%{SHIFT}+{COMMA}{SLASH}meter+{PERIOD}%{SHIFT}
tag_nav_begin	specific_html_tag	<nav	Types the beginning of 'nav' tag	+{COMMA}nav	%{SHIFT}+{COMMA}nav%{SHIFT}
tag_nav_start	specific_html_tag	<nav>	Types the start of 'nav' tag	+{COMMA}nav+{PERIOD}	%{SHIFT}+{COMMA}nav+{PERIOD}%{SHIFT}
tag_nav_close	specific_html_tag	</nav>	Types the end of 'nav' tag	+{COMMA}{SLASH}nav+{PERIOD}	%{SHIFT}+{COMMA}{SLASH}nav+{PERIOD}%{SHIFT}
tag_noscript_begin	specific_html_tag	<noscript	Types the beginning of 'noscript' tag	+{COMMA}noscript	%{SHIFT}+{COMMA}noscript%{SHIFT}
tag_noscript_start	specific_html_tag	<noscript>	Types the start of 'noscript' tag	+{COMMA}noscript+{PERIOD}	%{SHIFT}+{COMMA}noscript+{PERIOD}%{SHIFT}
tag_noscript_close	specific_html_tag	</noscript>	Types the end of 'noscript' tag	+{COMMA}{SLASH}noscript+{PERIOD}	%{SHIFT}+{COMMA}{SLASH}noscript+{PERIOD}%{SHIFT}
tag_object_begin	specific_html_tag	<object	Types the beginning of 'object' tag	+{COMMA}object	%{SHIFT}+{COMMA}object%{SHIFT}
tag_object_start	specific_html_tag	<object>	Types the start of 'object' tag	+{COMMA}object+{PERIOD}	%{SHIFT}+{COMMA}object+{PERIOD}%{SHIFT}
tag_object_close	specific_html_tag	</object>	Types the end of 'object' tag	+{COMMA}{SLASH}object+{PERIOD}	%{SHIFT}+{COMMA}{SLASH}object+{PERIOD}%{SHIFT}
tag_ol_begin	specific_html_tag	<ol	Types the beginning of 'ol' tag	+{COMMA}ol	%{SHIFT}+{COMMA}ol%{SHIFT}
tag_ol_start	specific_html_tag	<ol>	Types the start of 'ol' tag	+{COMMA}ol+{PERIOD}	%{SHIFT}+{COMMA}ol+{PERIOD}%{SHIFT}
tag_ol_close	specific_html_tag	</ol>	Types the end of 'ol' tag	+{COMMA}{SLASH}ol+{PERIOD}	%{SHIFT}+{COMMA}{SLASH}ol+{PERIOD}%{SHIFT}
tag_optgroup_begin	specific_html_tag	<optgroup	Types the beginning of 'optgroup' tag	+{COMMA}optgroup	%{SHIFT}+{COMMA}optgroup%{SHIFT}
tag_optgroup_start	specific_html_tag	<optgroup>	Types the start of 'optgroup' tag	+{COMMA}optgroup+{PERIOD}	%{SHIFT}+{COMMA}optgroup+{PERIOD}%{SHIFT}
tag_optgroup_close	specific_html_tag	</optgroup>	Types the end of 'optgroup' tag	+{COMMA}{SLASH}optgroup+{PERIOD}	%{SHIFT}+{COMMA}{SLASH}optgroup+{PERIOD}%{SHIFT}
tag_option_begin	specific_html_tag	<option	Types the beginning of 'option' tag	+{COMMA}option	%{SHIFT}+{COMMA}option%{SHIFT}
tag_option_start	specific_html_tag	<option>	Types the start of 'option' tag	+{COMMA}option+{PERIOD}	%{SHIFT}+{COMMA}option+{PERIOD}%{SHIFT}
tag_option_close	specific_html_tag	</option>	Types the end of 'option' tag	+{COMMA}{SLASH}option+{PERIOD}	%{SHIFT}+{COMMA}{SLASH}option+{PERIOD}%{SHIFT}
tag_output_begin	specific_html_tag	<output	Types the beginning of 'output' tag	+{COMMA}output	%{SHIFT}+{COMMA}output%{SHIFT}
tag_output_start	specific_html_tag	<output>	Types the start of 'output' tag	+{COMMA}output+{PERIOD}	%{SHIFT}+{COMMA}output+{PERIOD}%{SHIFT}
tag_output_close	specific_html_tag	</output>	Types the end of 'output' tag	+{COMMA}{SLASH}output+{PERIOD}	%{SHIFT}+{COMMA}{SLASH}output+{PERIOD}%{SHIFT}
tag_p_begin	specific_html_tag	<p	Types the beginning of 'p' tag	+{COMMA}p	%{SHIFT}+{COMMA}p%{SHIFT}
tag_p_start	specific_html_tag	<p>	Types the start of 'p' tag	+{COMMA}p+{PERIOD}	%{SHIFT}+{COMMA}p+{PERIOD}%{SHIFT}
tag_p_close	specific_html_tag	</p>	Types the end of 'p' tag	+{COMMA}{SLASH}p+{PERIOD}	%{SHIFT}+{COMMA}{SLASH}p+{PERIOD}%{SHIFT}
voidTag_param_begin	specific_html_tag	<param	Types the beginning of 'param' tag	+{COMMA}param	%{SHIFT}+{COMMA}param%{SHIFT}
voidTag_param_def	specific_html_tag	<param/>	Types the whole 'param' tag	+{COMMA}param{SLASH}+{PERIOD}	%{SHIFT}+{COMMA}param{SLASH}+{PERIOD}%{SHIFT}
tag_pre_begin	specific_html_tag	<pre	Types the beginning of 'pre' tag	+{COMMA}pre	%{SHIFT}+{COMMA}pre%{SHIFT}
tag_pre_start	specific_html_tag	<pre>	Types the start of 'pre' tag	+{COMMA}pre+{PERIOD}	%{SHIFT}+{COMMA}pre+{PERIOD}%{SHIFT}
tag_pre_close	specific_html_tag	</pre>	Types the end of 'pre' tag	+{COMMA}{SLASH}pre+{PERIOD}	%{SHIFT}+{COMMA}{SLASH}pre+{PERIOD}%{SHIFT}
tag_progress_begin	specific_html_tag	<progress	Types the beginning of 'progress' tag	+{COMMA}progress	%{SHIFT}+{COMMA}progress%{SHIFT}
tag_progress_start	specific_html_tag	<progress>	Types the start of 'progress' tag	+{COMMA}progress+{PERIOD}	%{SHIFT}+{COMMA}progress+{PERIOD}%{SHIFT}
tag_progress_close	specific_html_tag	</progress>	Types the end of 'progress' tag	+{COMMA}{SLASH}progress+{PERIOD}	%{SHIFT}+{COMMA}{SLASH}progress+{PERIOD}%{SHIFT}
tag_q_begin	specific_html_tag	<q	Types the beginning of 'q' tag	+{COMMA}q	%{SHIFT}+{COMMA}q%{SHIFT}
tag_q_start	specific_html_tag	<q>	Types the start of 'q' tag	+{COMMA}q+{PERIOD}	%{SHIFT}+{COMMA}q+{PERIOD}%{SHIFT}
tag_q_close	specific_html_tag	</q>	Types the end of 'q' tag	+{COMMA}{SLASH}q+{PERIOD}	%{SHIFT}+{COMMA}{SLASH}q+{PERIOD}%{SHIFT}
tag_rp_begin	specific_html_tag	<rp	Types the beginning of 'rp' tag	+{COMMA}rp	%{SHIFT}+{COMMA}rp%{SHIFT}
tag_rp_start	specific_html_tag	<rp>	Types the start of 'rp' tag	+{COMMA}rp+{PERIOD}	%{SHIFT}+{COMMA}rp+{PERIOD}%{SHIFT}
tag_rp_close	specific_html_tag	</rp>	Types the end of 'rp' tag	+{COMMA}{SLASH}rp+{PERIOD}	%{SHIFT}+{COMMA}{SLASH}rp+{PERIOD}%{SHIFT}
tag_rt_begin	specific_html_tag	<rt	Types the beginning of 'rt' tag	+{COMMA}rt	%{SHIFT}+{COMMA}rt%{SHIFT}
tag_rt_start	specific_html_tag	<rt>	Types the start of 'rt' tag	+{COMMA}rt+{PERIOD}	%{SHIFT}+{COMMA}rt+{PERIOD}%{SHIFT}
tag_rt_close	specific_html_tag	</rt>	Types the end of 'rt' tag	+{COMMA}{SLASH}rt+{PERIOD}	%{SHIFT}+{COMMA}{SLASH}rt+{PERIOD}%{SHIFT}
tag_ruby_begin	specific_html_tag	<ruby	Types the beginning of 'ruby' tag	+{COMMA}ruby	%{SHIFT}+{COMMA}ruby%{SHIFT}
tag_ruby_start	specific_html_tag	<ruby>	Types the start of 'ruby' tag	+{COMMA}ruby+{PERIOD}	%{SHIFT}+{COMMA}ruby+{PERIOD}%{SHIFT}
tag_ruby_close	specific_html_tag	</ruby>	Types the end of 'ruby' tag	+{COMMA}{SLASH}ruby+{PERIOD}	%{SHIFT}+{COMMA}{SLASH}ruby+{PERIOD}%{SHIFT}
tag_s_begin	specific_html_tag	<s	Types the beginning of 's' tag	+{COMMA}s	%{SHIFT}+{COMMA}s%{SHIFT}
tag_s_start	specific_html_tag	<s>	Types the start of 's' tag	+{COMMA}s+{PERIOD}	%{SHIFT}+{COMMA}s+{PERIOD}%{SHIFT}
tag_s_close	specific_html_tag	</s>	Types the end of 's' tag	+{COMMA}{SLASH}s+{PERIOD}	%{SHIFT}+{COMMA}{SLASH}s+{PERIOD}%{SHIFT}
tag_samp_begin	specific_html_tag	<samp	Types the beginning of 'samp' tag	+{COMMA}samp	%{SHIFT}+{COMMA}samp%{SHIFT}
tag_samp_start	specific_html_tag	<samp>	Types the start of 'samp' tag	+{COMMA}samp+{PERIOD}	%{SHIFT}+{COMMA}samp+{PERIOD}%{SHIFT}
tag_samp_close	specific_html_tag	</samp>	Types the end of 'samp' tag	+{COMMA}{SLASH}samp+{PERIOD}	%{SHIFT}+{COMMA}{SLASH}samp+{PERIOD}%{SHIFT}
tag_script_begin	specific_html_tag	<script	Types the beginning of 'script' tag	+{COMMA}script	%{SHIFT}+{COMMA}script%{SHIFT}
tag_script_start	specific_html_tag	<script>	Types the start of 'script' tag	+{COMMA}script+{PERIOD}	%{SHIFT}+{COMMA}script+{PERIOD}%{SHIFT}
tag_script_close	specific_html_tag	</script>	Types the end of 'script' tag	+{COMMA}{SLASH}script+{PERIOD}	%{SHIFT}+{COMMA}{SLASH}script+{PERIOD}%{SHIFT}
tag_section_begin	specific_html_tag	<section	Types the beginning of 'section' tag	+{COMMA}section	%{SHIFT}+{COMMA}section%{SHIFT}
tag_section_start	specific_html_tag	<section>	Types the start of 'section' tag	+{COMMA}section+{PERIOD}	%{SHIFT}+{COMMA}section+{PERIOD}%{SHIFT}
tag_section_close	specific_html_tag	</section>	Types the end of 'section' tag	+{COMMA}{SLASH}section+{PERIOD}	%{SHIFT}+{COMMA}{SLASH}section+{PERIOD}%{SHIFT}
tag_select_begin	specific_html_tag	<select	Types the beginning of 'select' tag	+{COMMA}select	%{SHIFT}+{COMMA}select%{SHIFT}
tag_select_start	specific_html_tag	<select>	Types the start of 'select' tag	+{COMMA}select+{PERIOD}	%{SHIFT}+{COMMA}select+{PERIOD}%{SHIFT}
tag_select_close	specific_html_tag	</select>	Types the end of 'select' tag	+{COMMA}{SLASH}select+{PERIOD}	%{SHIFT}+{COMMA}{SLASH}select+{PERIOD}%{SHIFT}
tag_small_begin	specific_html_tag	<small	Types the beginning of 'small' tag	+{COMMA}small	%{SHIFT}+{COMMA}small%{SHIFT}
tag_small_start	specific_html_tag	<small>	Types the start of 'small' tag	+{COMMA}small+{PERIOD}	%{SHIFT}+{COMMA}small+{PERIOD}%{SHIFT}
tag_small_close	specific_html_tag	</small>	Types the end of 'small' tag	+{COMMA}{SLASH}small+{PERIOD}	%{SHIFT}+{COMMA}{SLASH}small+{PERIOD}%{SHIFT}
voidTag_source_begin	specific_html_tag	<source	Types the beginning of 'source' tag	+{COMMA}source	%{SHIFT}+{COMMA}source%{SHIFT}
voidTag_source_def	specific_html_tag	<source/>	Types the whole 'source' tag	+{COMMA}source{SLASH}+{PERIOD}	%{SHIFT}+{COMMA}source{SLASH}+{PERIOD}%{SHIFT}
tag_span_begin	specific_html_tag	<span	Types the beginning of 'span' tag	+{COMMA}span	%{SHIFT}+{COMMA}span%{SHIFT}
tag_span_start	specific_html_tag	<span>	Types the start of 'span' tag	+{COMMA}span+{PERIOD}	%{SHIFT}+{COMMA}span+{PERIOD}%{SHIFT}
tag_span_close	specific_html_tag	</span>	Types the end of 'span' tag	+{COMMA}{SLASH}span+{PERIOD}	%{SHIFT}+{COMMA}{SLASH}span+{PERIOD}%{SHIFT}
tag_strong_begin	specific_html_tag	<strong	Types the beginning of 'strong' tag	+{COMMA}strong	%{SHIFT}+{COMMA}strong%{SHIFT}
tag_strong_start	specific_html_tag	<strong>	Types the start of 'strong' tag	+{COMMA}strong+{PERIOD}	%{SHIFT}+{COMMA}strong+{PERIOD}%{SHIFT}
tag_strong_close	specific_html_tag	</strong>	Types the end of 'strong' tag	+{COMMA}{SLASH}strong+{PERIOD}	%{SHIFT}+{COMMA}{SLASH}strong+{PERIOD}%{SHIFT}
tag_style_begin	specific_html_tag	<style	Types the beginning of 'style' tag	+{COMMA}style	%{SHIFT}+{COMMA}style%{SHIFT}
tag_style_start	specific_html_tag	<style>	Types the start of 'style' tag	+{COMMA}style+{PERIOD}	%{SHIFT}+{COMMA}style+{PERIOD}%{SHIFT}
tag_style_close	specific_html_tag	</style>	Types the end of 'style' tag	+{COMMA}{SLASH}style+{PERIOD}	%{SHIFT}+{COMMA}{SLASH}style+{PERIOD}%{SHIFT}
tag_sub_begin	specific_html_tag	<sub	Types the beginning of 'sub' tag	+{COMMA}sub	%{SHIFT}+{COMMA}sub%{SHIFT}
tag_sub_start	specific_html_tag	<sub>	Types the start of 'sub' tag	+{COMMA}sub+{PERIOD}	%{SHIFT}+{COMMA}sub+{PERIOD}%{SHIFT}
tag_sub_close	specific_html_tag	</sub>	Types the end of 'sub' tag	+{COMMA}{SLASH}sub+{PERIOD}	%{SHIFT}+{COMMA}{SLASH}sub+{PERIOD}%{SHIFT}
tag_summary_begin	specific_html_tag	<summary	Types the beginning of 'summary' tag	+{COMMA}summary	%{SHIFT}+{COMMA}summary%{SHIFT}
tag_summary_start	specific_html_tag	<summary>	Types the start of 'summary' tag	+{COMMA}summary+{PERIOD}	%{SHIFT}+{COMMA}summary+{PERIOD}%{SHIFT}
tag_summary_close	specific_html_tag	</summary>	Types the end of 'summary' tag	+{COMMA}{SLASH}summary+{PERIOD}	%{SHIFT}+{COMMA}{SLASH}summary+{PERIOD}%{SHIFT}
tag_sup_begin	specific_html_tag	<sup	Types the beginning of 'sup' tag	+{COMMA}sup	%{SHIFT}+{COMMA}sup%{SHIFT}
tag_sup_start	specific_html_tag	<sup>	Types the start of 'sup' tag	+{COMMA}sup+{PERIOD}	%{SHIFT}+{COMMA}sup+{PERIOD}%{SHIFT}
tag_sup_close	specific_html_tag	</sup>	Types the end of 'sup' tag	+{COMMA}{SLASH}sup+{PERIOD}	%{SHIFT}+{COMMA}{SLASH}sup+{PERIOD}%{SHIFT}
tag_table_begin	specific_html_tag	<table	Types the beginning of 'table' tag	+{COMMA}table	%{SHIFT}+{COMMA}table%{SHIFT}
tag_table_start	specific_html_tag	<table>	Types the start of 'table' tag	+{COMMA}table+{PERIOD}	%{SHIFT}+{COMMA}table+{PERIOD}%{SHIFT}
tag_table_close	specific_html_tag	</table>	Types the end of 'table' tag	+{COMMA}{SLASH}table+{PERIOD}	%{SHIFT}+{COMMA}{SLASH}table+{PERIOD}%{SHIFT}
tag_tbody_begin	specific_html_tag	<tbody	Types the beginning of 'tbody' tag	+{COMMA}tbody	%{SHIFT}+{COMMA}tbody%{SHIFT}
tag_tbody_start	specific_html_tag	<tbody>	Types the start of 'tbody' tag	+{COMMA}tbody+{PERIOD}	%{SHIFT}+{COMMA}tbody+{PERIOD}%{SHIFT}
tag_tbody_close	specific_html_tag	</tbody>	Types the end of 'tbody' tag	+{COMMA}{SLASH}tbody+{PERIOD}	%{SHIFT}+{COMMA}{SLASH}tbody+{PERIOD}%{SHIFT}
tag_td_begin	specific_html_tag	<td	Types the beginning of 'td' tag	+{COMMA}td	%{SHIFT}+{COMMA}td%{SHIFT}
tag_td_start	specific_html_tag	<td>	Types the start of 'td' tag	+{COMMA}td+{PERIOD}	%{SHIFT}+{COMMA}td+{PERIOD}%{SHIFT}
tag_td_close	specific_html_tag	</td>	Types the end of 'td' tag	+{COMMA}{SLASH}td+{PERIOD}	%{SHIFT}+{COMMA}{SLASH}td+{PERIOD}%{SHIFT}
tag_textarea_begin	specific_html_tag	<textarea	Types the beginning of 'textarea' tag	+{COMMA}textarea	%{SHIFT}+{COMMA}textarea%{SHIFT}
tag_textarea_start	specific_html_tag	<textarea>	Types the start of 'textarea' tag	+{COMMA}textarea+{PERIOD}	%{SHIFT}+{COMMA}textarea+{PERIOD}%{SHIFT}
tag_textarea_close	specific_html_tag	</textarea>	Types the end of 'textarea' tag	+{COMMA}{SLASH}textarea+{PERIOD}	%{SHIFT}+{COMMA}{SLASH}textarea+{PERIOD}%{SHIFT}
tag_tfoot_begin	specific_html_tag	<tfoot	Types the beginning of 'tfoot' tag	+{COMMA}tfoot	%{SHIFT}+{COMMA}tfoot%{SHIFT}
tag_tfoot_start	specific_html_tag	<tfoot>	Types the start of 'tfoot' tag	+{COMMA}tfoot+{PERIOD}	%{SHIFT}+{COMMA}tfoot+{PERIOD}%{SHIFT}
tag_tfoot_close	specific_html_tag	</tfoot>	Types the end of 'tfoot' tag	+{COMMA}{SLASH}tfoot+{PERIOD}	%{SHIFT}+{COMMA}{SLASH}tfoot+{PERIOD}%{SHIFT}
tag_th_begin	specific_html_tag	<th	Types the beginning of 'th' tag	+{COMMA}th	%{SHIFT}+{COMMA}th%{SHIFT}
tag_th_start	specific_html_tag	<th>	Types the start of 'th' tag	+{COMMA}th+{PERIOD}	%{SHIFT}+{COMMA}th+{PERIOD}%{SHIFT}
tag_th_close	specific_html_tag	</th>	Types the end of 'th' tag	+{COMMA}{SLASH}th+{PERIOD}	%{SHIFT}+{COMMA}{SLASH}th+{PERIOD}%{SHIFT}
tag_thead_begin	specific_html_tag	<thead	Types the beginning of 'thead' tag	+{COMMA}thead	%{SHIFT}+{COMMA}thead%{SHIFT}
tag_thead_start	specific_html_tag	<thead>	Types the start of 'thead' tag	+{COMMA}thead+{PERIOD}	%{SHIFT}+{COMMA}thead+{PERIOD}%{SHIFT}
tag_thead_close	specific_html_tag	</thead>	Types the end of 'thead' tag	+{COMMA}{SLASH}thead+{PERIOD}	%{SHIFT}+{COMMA}{SLASH}thead+{PERIOD}%{SHIFT}
tag_time_begin	specific_html_tag	<time	Types the beginning of 'time' tag	+{COMMA}time	%{SHIFT}+{COMMA}time%{SHIFT}
tag_time_start	specific_html_tag	<time>	Types the start of 'time' tag	+{COMMA}time+{PERIOD}	%{SHIFT}+{COMMA}time+{PERIOD}%{SHIFT}
tag_time_close	specific_html_tag	</time>	Types the end of 'time' tag	+{COMMA}{SLASH}time+{PERIOD}	%{SHIFT}+{COMMA}{SLASH}time+{PERIOD}%{SHIFT}
tag_title_begin	specific_html_tag	<title	Types the beginning of 'title' tag	+{COMMA}title	%{SHIFT}+{COMMA}title%{SHIFT}
tag_title_start	specific_html_tag	<title>	Types the start of 'title' tag	+{COMMA}title+{PERIOD}	%{SHIFT}+{COMMA}title+{PERIOD}%{SHIFT}
tag_title_close	specific_html_tag	</title>	Types the end of 'title' tag	+{COMMA}{SLASH}title+{PERIOD}	%{SHIFT}+{COMMA}{SLASH}title+{PERIOD}%{SHIFT}
tag_tr_begin	specific_html_tag	<tr	Types the beginning of 'tr' tag	+{COMMA}tr	%{SHIFT}+{COMMA}tr%{SHIFT}
tag_tr_start	specific_html_tag	<tr>	Types the start of 'tr' tag	+{COMMA}tr+{PERIOD}	%{SHIFT}+{COMMA}tr+{PERIOD}%{SHIFT}
tag_tr_close	specific_html_tag	</tr>	Types the end of 'tr' tag	+{COMMA}{SLASH}tr+{PERIOD}	%{SHIFT}+{COMMA}{SLASH}tr+{PERIOD}%{SHIFT}
tag_track_begin	specific_html_tag	<track	Types the beginning of 'track' tag	+{COMMA}track	%{SHIFT}+{COMMA}track%{SHIFT}
tag_track_start	specific_html_tag	<track>	Types the start of 'track' tag	+{COMMA}track+{PERIOD}	%{SHIFT}+{COMMA}track+{PERIOD}%{SHIFT}
tag_track_close	specific_html_tag	</track>	Types the end of 'track' tag	+{COMMA}{SLASH}track+{PERIOD}	%{SHIFT}+{COMMA}{SLASH}track+{PERIOD}%{SHIFT}
tag_u_begin	specific_html_tag	<u	Types the beginning of 'u' tag	+{COMMA}u	%{SHIFT}+{COMMA}u%{SHIFT}
tag_u_start	specific_html_tag	<u>	Types the start of 'u' tag	+{COMMA}u+{PERIOD}	%{SHIFT}+{COMMA}u+{PERIOD}%{SHIFT}
tag_u_close	specific_html_tag	</u>	Types the end of 'u' tag	+{COMMA}{SLASH}u+{PERIOD}	%{SHIFT}+{COMMA}{SLASH}u+{PERIOD}%{SHIFT}
tag_ul_begin	specific_html_tag	<ul	Types the beginning of 'ul' tag	+{COMMA}ul	%{SHIFT}+{COMMA}ul%{SHIFT}
tag_ul_start	specific_html_tag	<ul>	Types the start of 'ul' tag	+{COMMA}ul+{PERIOD}	%{SHIFT}+{COMMA}ul+{PERIOD}%{SHIFT}
tag_ul_close	specific_html_tag	</ul>	Types the end of 'ul' tag	+{COMMA}{SLASH}ul+{PERIOD}	%{SHIFT}+{COMMA}{SLASH}ul+{PERIOD}%{SHIFT}
tag_var_begin	specific_html_tag	<var	Types the beginning of 'var' tag	+{COMMA}var	%{SHIFT}+{COMMA}var%{SHIFT}
tag_var_start	specific_html_tag	<var>	Types the start of 'var' tag	+{COMMA}var+{PERIOD}	%{SHIFT}+{COMMA}var+{PERIOD}%{SHIFT}
tag_var_close	specific_html_tag	</var>	Types the end of 'var' tag	+{COMMA}{SLASH}var+{PERIOD}	%{SHIFT}+{COMMA}{SLASH}var+{PERIOD}%{SHIFT}
tag_video_begin	specific_html_tag	<video	Types the beginning of 'video' tag	+{COMMA}video	%{SHIFT}+{COMMA}video%{SHIFT}
tag_video_start	specific_html_tag	<video>	Types the start of 'video' tag	+{COMMA}video+{PERIOD}	%{SHIFT}+{COMMA}video+{PERIOD}%{SHIFT}
tag_video_close	specific_html_tag	</video>	Types the end of 'video' tag	+{COMMA}{SLASH}video+{PERIOD}	%{SHIFT}+{COMMA}{SLASH}video+{PERIOD}%{SHIFT}
tag_wbr_begin	specific_html_tag	<wbr	Types the beginning of 'wbr' tag	+{COMMA}wbr	%{SHIFT}+{COMMA}wbr%{SHIFT}
tag_wbr_start	specific_html_tag	<wbr>	Types the start of 'wbr' tag	+{COMMA}wbr+{PERIOD}	%{SHIFT}+{COMMA}wbr+{PERIOD}%{SHIFT}
tag_wbr_close	specific_html_tag	</wbr>	Types the end of 'wbr' tag	+{COMMA}{SLASH}wbr+{PERIOD}	%{SHIFT}+{COMMA}{SLASH}wbr+{PERIOD}%{SHIFT}
attr_decl_alt	attribute_declaration	alt=""	types a declaration for attribute 'alt'	{SPACE}alt{EQUAL}+{'}+{'}	%{SHIFT}{SPACE}alt{EQUAL}+{'}+{'}%{SHIFT}
attr_decl_disabled	attribute_declaration	disabled=""	types a declaration for attribute 'disabled'	{SPACE}disabled{EQUAL}+{'}+{'}	%{SHIFT}{SPACE}disabled{EQUAL}+{'}+{'}%{SHIFT}
attr_decl_href	attribute_declaration	href=""	types a declaration for attribute 'href'	{SPACE}href{EQUAL}+{'}+{'}	%{SHIFT}{SPACE}href{EQUAL}+{'}+{'}%{SHIFT}
attr_decl_id	attribute_declaration	id=""	types a declaration for attribute 'id'	{SPACE}id{EQUAL}+{'}+{'}	%{SHIFT}{SPACE}id{EQUAL}+{'}+{'}%{SHIFT}
attr_decl_src	attribute_declaration	src=""	types a declaration for attribute 'src'	{SPACE}src{EQUAL}+{'}+{'}	%{SHIFT}{SPACE}src{EQUAL}+{'}+{'}%{SHIFT}
attr_decl_style	attribute_declaration	style=""	types a declaration for attribute 'style'	{SPACE}style{EQUAL}+{'}+{'}	%{SHIFT}{SPACE}style{EQUAL}+{'}+{'}%{SHIFT}
attr_decl_title	attribute_declaration	title=""	types a declaration for attribute 'title'	{SPACE}title{EQUAL}+{'}+{'}	%{SHIFT}{SPACE}title{EQUAL}+{'}+{'}%{SHIFT}
