command_id	command_category	command_note	command_description	latin keyboard layout	cyrillic keyboard layout
tag_iframe_close	specific_html_tag	</iframe>	Types the end of 'iframe' tag	+{COMMA}{SLASH}iframe+{PERIOD}	%{SHIFT}+{COMMA}{SLASH}iframe+{PERIOD}%{SHIFT}
voidTag_img_begin	specific_html_tag	<img	Types the beginning of 'img' tag	+{COMMA}img	%{SHIFT}+{COMMA}img%{SHIFT}
voidTag_img_def	specific_html_tag	<img/>	Types the whole 'img' tag	+{COMMA}img{SLASH}+{PERIOD}	%{SHIFT}+{COMMA}img{SLASH}+{PERIOD}%{SHIFT}
voidTag_input_begin	specific_html_tag	<input	Types the beginning of 'input' tag	+{COMMA}input	%{SHIFT}+{COMMA}input%{SHIFT}
voidTag_input_def	specific_html_tag	<input/>	Types the whole 'input' tag	+{COMMA}input{SLASH}+{PERIOD}	%{SHIFT}+{COMMA}input{SLASH}+{PERIOD}%{SHIFT}
tag_ins_begin	specific_html_tag	<ins	Types the beginning of 'ins' tag	+{COMMA}ins	%{SHIFT}+{COMMA}ins%{SHIFT}
tag_ins_start	specific_html_tag	<ins>	Types the start of 'ins' tag	+{COMMA}ins+{PERIOD}	%{SHIFT}+{COMMA}ins+{PERIOD}%{SHIFT}
tag_ins_close	specific_html_tag	</ins>	Types the end of 'ins' tag	+{COMMA}{SLASH}ins+{PERIOD}	%{SHIFT}+{COMMA}{SLASH}ins+{PERIOD}%{SHIFT}
tag_kbd_begin	specific_html_tag	<kbd	Types the beginning of 'kbd' tag	+{COMMA}kbd	%{SHIFT}+{COMMA}kbd%{SHIFT}
tag_kbd_start	specific_html_tag	<kbd>	Types the start of 'kbd' tag	+{COMMA}kbd+{PERIOD}	%{SHIFT}+{COMMA}kbd+{PERIOD}%{SHIFT}
tag_kbd_close	specific_html_tag	</kbd>	Types the end of 'kbd' tag	+{COMMA}{SLASH}kbd+{PERIOD}	%{SHIFT}+{COMMA}{SLASH}kbd+{PERIOD}%{SHIFT}
voidTag_keygen_begin	specific_html_tag	<keygen	Types the beginning of 'keygen' tag	+{COMMA}keygen	%{SHIFT}+{COMMA}keygen%{SHIFT}
voidTag_keygen_def	specific_html_tag	<keygen/>	Types the whole 'keygen' tag	+{COMMA}keygen{SLASH}+{PERIOD}	%{SHIFT}+{COMMA}keygen{SLASH}+{PERIOD}%{SHIFT}
tag_label_begin	specific_html_tag	<label	Types the beginning of 'label' tag	+{COMMA}label	%{SHIFT}+{COMMA}label%{SHIFT}
tag_label_start	specific_html_tag	<label>	Types the start of 'label' tag	+{COMMA}label+{PERIOD}	%{SHIFT}+{COMMA}label+{PERIOD}%{SHIFT}
tag_label_close	specific_html_tag	</label>	Types the end of 'label' tag	+{COMMA}{SLASH}label+{PERIOD}	%{SHIFT}+{COMMA}{SLASH}label+{PERIOD}%{SHIFT}
tag_legend_begin	specific_html_tag	<legend	Types the beginning of 'legend' tag	+{COMMA}legend	%{SHIFT}+{COMMA}legend%{SHIFT}
tag_legend_start	specific_html_tag	<legend>	Types the start of 'legend' tag	+{COMMA}legend+{PERIOD}	%{SHIFT}+{COMMA}legend+{PERIOD}%{SHIFT}
tag_legend_close	specific_html_tag	</legend>	Types the end of 'legend' tag	+{COMMA}{SLASH}legend+{PERIOD}	%{SHIFT}+{COMMA}{SLASH}legend+{PERIOD}%{SHIFT}
tag_li_begin	specific_html_tag	<li	Types the beginning of 'li' tag	+{COMMA}li	%{SHIFT}+{COMMA}li%{SHIFT}
tag_li_start	specific_html_tag	<li>	Types the start of 'li' tag	+{COMMA}li+{PERIOD}	%{SHIFT}+{COMMA}li+{PERIOD}%{SHIFT}
tag_li_close	specific_html_tag	</li>	Types the end of 'li' tag	+{COMMA}{SLASH}li+{PERIOD}	%{SHIFT}+{COMMA}{SLASH}li+{PERIOD}%{SHIFT}
voidTag_link_begin	specific_html_tag	<link	Types the beginning of 'link' tag	+{COMMA}link	%{SHIFT}+{COMMA}link%{SHIFT}
voidTag_link_def	specific_html_tag	<link/>	Types the whole 'link' tag	+{COMMA}link{SLASH}+{PERIOD}	%{SHIFT}+{COMMA}link{SLASH}+{PERIOD}%{SHIFT}
tag_main_begin	specific_html_tag	<main	Types the beginning of 'main' tag	+{COMMA}main	%{SHIFT}+{COMMA}main%{SHIFT}
tag_main_start	specific_html_tag	<main>	Types the start of 'main' tag	+{COMMA}main+{PERIOD}	%{SHIFT}+{COMMA}main+{PERIOD}%{SHIFT}
tag_main_close	specific_html_tag	</main>	Types the end of 'main' tag	+{COMMA}{SLASH}main+{PERIOD}	%{SHIFT}+{COMMA}{SLASH}main+{PERIOD}%{SHIFT}
tag_map_begin	specific_html_tag	<map	Types the beginning of 'map' tag	+{COMMA}map	%{SHIFT}+{COMMA}map%{SHIFT}
tag_map_start	specific_html_tag	<map>	Types the start of 'map' tag	+{COMMA}map+{PERIOD}	%{SHIFT}+{COMMA}map+{PERIOD}%{SHIFT}
